pair,f1
2013_Australia_bushfire → 2013_LA_airport_shootings,0.2817220237843856
2013_Australia_bushfire → 2013_Manila_floods,0.4897790619765494
2013_Australia_bushfire → 2013_NY_train_crash,0.10339947875703602
2013_Australia_bushfire → 2013_Queensland_floods,0.3497231199047208
2013_Australia_bushfire → 2013_Russia_meteor,0.3626112483041098
2013_Australia_bushfire → 2013_Sardinia_floods,0.5511752577319587
2013_Australia_bushfire → 2013_Savar_building_colla,0.21012142318196034
2013_Australia_bushfire → 2013_Singapore_haze,0.34709465467141276
2013_Australia_bushfire → 2013_Spain_train_crash,0.3236714215648313
2013_Australia_bushfire → 2013_Typhoon_Yolanda,0.5147689218029358
2013_Australia_bushfire → 2013_West_Texas_explosion,0.294951883419498
2013_Bohol_earthquake → 2012_Colorado_wildfires,0.4188017022501172
2013_Bohol_earthquake → 2012_Costa_Rica_earthquak,0.5067520238707819
2013_Bohol_earthquake → 2012_Guatemala_earthquake,0.5651530977982591
2013_Bohol_earthquake → 2012_Italy_earthquakes,0.6205918297575441
2013_Bohol_earthquake → 2012_Philipinnes_floods,0.502420382872655
2013_Bohol_earthquake → 2012_Typhoon_Pablo,0.5483112470842377
2013_Bohol_earthquake → 2012_Venezuela_refinery,0.49481074330360547
2013_Bohol_earthquake → 2013_Alberta_floods,0.41861982528866953
2013_Bohol_earthquake → 2013_Australia_bushfire,0.38611853647264516
2013_Bohol_earthquake → 2013_Boston_bombings,0.3887659510809654
2013_Bohol_earthquake → 2013_Brazil_nightclub_fir,0.4741478888798047
2013_Bohol_earthquake → 2013_Colorado_floods,0.4335764893373573
2013_Bohol_earthquake → 2013_Glasgow_helicopter_c,0.4355971632439717
2013_Bohol_earthquake → 2013_Lac_Megantic_train_c,0.44720234722337365
2013_Bohol_earthquake → 2013_LA_airport_shootings,0.351051260138391
2013_Bohol_earthquake → 2013_Manila_floods,0.4894952963250671
2013_Bohol_earthquake → 2013_NY_train_crash,0.4492438700958655
2013_Bohol_earthquake → 2013_Queensland_floods,0.35234875894588696
2013_Bohol_earthquake → 2013_Russia_meteor,0.41165763944014716
2013_Bohol_earthquake → 2013_Sardinia_floods,0.5922552803467326
2013_Bohol_earthquake → 2013_Savar_building_colla,0.5459053587810618
2013_Bohol_earthquake → 2013_Singapore_haze,0.29158302012656495
2013_Bohol_earthquake → 2013_Spain_train_crash,0.4407973097521485
2013_Bohol_earthquake → 2013_Typhoon_Yolanda,0.570352407934583
2013_Bohol_earthquake → 2013_West_Texas_explosion,0.37655727145655626
2013_Boston_bombings → 2012_Colorado_wildfires,0.4511842947370597
2013_Boston_bombings → 2012_Costa_Rica_earthquak,0.4953274758012949
2013_Boston_bombings → 2012_Guatemala_earthquake,0.5495799993314139
2013_Boston_bombings → 2012_Italy_earthquakes,0.6004560531254692
2013_Boston_bombings → 2012_Philipinnes_floods,0.5270138510683158
2013_Boston_bombings → 2012_Typhoon_Pablo,0.475456034451408
2013_Boston_bombings → 2012_Venezuela_refinery,0.5050010160563118
2013_Boston_bombings → 2013_Alberta_floods,0.44835689743155965
2013_Boston_bombings → 2013_Australia_bushfire,0.40901528184299524
2013_Boston_bombings → 2013_Bohol_earthquake,0.5682845156369184
2013_Boston_bombings → 2013_Brazil_nightclub_fir,0.6008902715603809
2013_Boston_bombings → 2013_Colorado_floods,0.42212121298951555
2013_Boston_bombings → 2013_Glasgow_helicopter_c,0.4120174066765421
2013_Boston_bombings → 2013_Lac_Megantic_train_c,0.41527887796158236
2013_Boston_bombings → 2013_LA_airport_shootings,0.38215984492139243
2013_Boston_bombings → 2013_Manila_floods,0.48836784824601776
2013_Boston_bombings → 2013_NY_train_crash,0.3766731910317441
2013_Boston_bombings → 2013_Queensland_floods,0.3711533467957045
2013_Boston_bombings → 2013_Russia_meteor,0.42765735464423066
2013_Boston_bombings → 2013_Sardinia_floods,0.5990719038967539
2013_Boston_bombings → 2013_Savar_building_colla,0.35238387600869
2013_Boston_bombings → 2013_Singapore_haze,0.3113439543141223
2013_Boston_bombings → 2013_Spain_train_crash,0.4466380896834351
2013_Boston_bombings → 2013_Typhoon_Yolanda,0.5771860333272689
2013_Boston_bombings → 2013_West_Texas_explosion,0.46773289731666795
2013_Brazil_nightclub_fir → 2012_Colorado_wildfires,0.39546951997157576
2013_Brazil_nightclub_fir → 2012_Costa_Rica_earthquak,0.46397613844206803
2013_Brazil_nightclub_fir → 2012_Guatemala_earthquake,0.5544640135791516
2013_Brazil_nightclub_fir → 2012_Italy_earthquakes,0.573000057139592
2013_Brazil_nightclub_fir → 2012_Philipinnes_floods,0.49034988377755484
2013_Brazil_nightclub_fir → 2012_Typhoon_Pablo,0.4369565623177134
2013_Brazil_nightclub_fir → 2012_Venezuela_refinery,0.509532457921357
2013_Brazil_nightclub_fir → 2013_Alberta_floods,0.40323893144784584
2013_Brazil_nightclub_fir → 2013_Australia_bushfire,0.3676532767349933
2013_Brazil_nightclub_fir → 2013_Bohol_earthquake,0.5320002346035144
2013_Brazil_nightclub_fir → 2013_Boston_bombings,0.3928881435699355
2013_Brazil_nightclub_fir → 2013_Colorado_floods,0.3992236370213238
2013_Brazil_nightclub_fir → 2013_Glasgow_helicopter_c,0.4090130621482491
2013_Brazil_nightclub_fir → 2013_Lac_Megantic_train_c,0.4607501178652646
2013_Brazil_nightclub_fir → 2013_LA_airport_shootings,0.30251336099599146
2013_Brazil_nightclub_fir → 2013_Manila_floods,0.47722194414580243
2013_Brazil_nightclub_fir → 2013_NY_train_crash,0.37362579315603456
2013_Brazil_nightclub_fir → 2013_Queensland_floods,0.321663992105165
2013_Brazil_nightclub_fir → 2013_Russia_meteor,0.39015141896749556
2013_Brazil_nightclub_fir → 2013_Sardinia_floods,0.5868646126794458
2013_Brazil_nightclub_fir → 2013_Savar_building_colla,0.46590152409046215
2013_Brazil_nightclub_fir → 2013_Singapore_haze,0.2747936240141338
2013_Brazil_nightclub_fir → 2013_Spain_train_crash,0.46241808758403635
2013_Brazil_nightclub_fir → 2013_Typhoon_Yolanda,0.5282546061599684
2013_Brazil_nightclub_fir → 2013_West_Texas_explosion,0.33212289367157516
2013_Colorado_floods → 2012_Colorado_wildfires,0.45238653295871456
2013_Colorado_floods → 2012_Costa_Rica_earthquak,0.49191259665996206
2013_Colorado_floods → 2012_Guatemala_earthquake,0.5483888782040148
2013_Colorado_floods → 2012_Italy_earthquakes,0.5875136958130001
2013_Colorado_floods → 2012_Philipinnes_floods,0.5561086610788739
2013_Colorado_floods → 2012_Typhoon_Pablo,0.5351325079468265
2013_Colorado_floods → 2012_Venezuela_refinery,0.5527648489448674
2013_Colorado_floods → 2013_Alberta_floods,0.46738403495369435
